L = 0.03
24.0300 0.0000 0.0099
24.1356 0.0000 0.0057
24.1499 0.0097 0.0000
24.1554 0.0031 0.0000
24.1624 0.0000 0.0160
24.1739 0.0099 0.0000
24.1750 0.0123 0.0000
24.1898 0.0057 0.0000
24.2113 0.0096 0.0000
24.2812 0.0000 0.0087
24.2839 0.0000 0.0040
24.3168 0.0170 0.0000
24.3571 0.0000 0.0057
24.3609 0.0111 0.0000
24.3748 0.0000 0.0188
24.4334 0.0126 0.0000
24.4388 0.0059 0.0000
24.4411 0.0000 0.0072
24.4662 0.0055 0.0000
24.4989 0.0000 0.0119
24.5001 0.0118 0.0000
24.5415 0.0119 0.0000
24.5965 0.0020 0.0139
24.6309 0.0000 0.0157
24.7737 0.0091 0.0000
24.7863 0.0063 0.0000
24.7942 0.0070 0.0000
24.7962 0.0000 0.0060
24.8139 0.0113 0.0000
24.8206 0.0080 0.0000
24.8416 0.0076 0.0000
24.8621 0.0096 0.0000
24.8856 0.0000 0.0109
24.8945 0.0027 0.0000
24.9137 0.0000 0.0185
24.9172 0.0065 0.0000
24.9419 0.0084 0.0000
24.9508 0.0000 0.0098
24.9657 0.0000 0.0121
24.9847 0.0039 0.0000
25.0198 0.0192 0.0000
25.0347 0.0000 0.0162
25.0582 0.0124 0.0000
25.1183 0.0000 0.0071
25.1199 0.0072 0.0000
25.1212 0.0177 0.0000
25.1471 0.0000 0.0086
25.1621 0.0000 0.0199
25.1630 0.0105 0.0000
25.1784 0.0117 0.0000
