id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
75	-	1, 49, 81, 115, 163, 173, 191, 225, 230, 233, 235, 237, 283, 309, 311, 388, 415, 429, 481, 623, 691, 694, 726, 739, 802, 824, 904, 955, 961, 963, 988, 1136, 1177, 1260, 1357, 1374, 1415, 1529, 
76	-	112, 131, 201, 351, 465, 577, 640, 641, 744, 770, 798, 855, 883, 946, 954, 1077, 1267, 1401, 1406, 1438, 1461, 1480, 1481, 1486, 
77	-	166, 306, 321, 371, 503, 546, 696, 965, 989, 991, 1016, 1146, 1197, 1232, 1320, 1322, 1408, 1452, 
78	-	31, 105, 132, 143, 217, 273, 310, 322, 360, 468, 480, 495, 507, 521, 769, 813, 902, 987, 999, 1028, 1091, 1414, 1490, 1491, 
79	-	21, 54, 85, 120, 317, 323, 373, 478, 692, 780, 808, 848, 897, 928, 992, 1024, 1055, 1098, 1106, 1272, 1297, 1313, 1388, 1405, 1412, 1419, 1446, 1492, 
80	-	11, 210, 308, 338, 357, 408, 448, 453, 488, 529, 644, 686, 749, 775, 832, 866, 925, 977, 1064, 1108, 1162, 1208, 1262, 1302, 1363, 1366, 1373, 1434, 1475, 
81	-	49, 75, 173, 185, 194, 225, 230, 233, 235, 283, 293, 311, 332, 339, 429, 481, 623, 685, 694, 802, 824, 833, 859, 904, 955, 961, 963, 988, 1209, 1260, 1357, 1374, 
82	-	38, 50, 177, 268, 304, 341, 358, 363, 384, 447, 558, 697, 735, 820, 850, 864, 971, 994, 1079, 1198, 1231, 1392, 1437, 1459, 1467, 1485, 
83	-	24, 260, 266, 274, 306, 330, 347, 382, 405, 479, 621, 626, 665, 755, 794, 857, 913, 951, 989, 1016, 1071, 1119, 1193, 1241, 1264, 1320, 1408, 1452, 
84	-	10, 114, 269, 286, 296, 422, 426, 489, 523, 649, 1012, 1061, 1194, 1304, 1319, 1331, 1346, 1359, 1365, 1384, 
85	-	3, 21, 32, 41, 54, 79, 120, 313, 317, 323, 373, 478, 634, 692, 780, 808, 848, 897, 928, 992, 1024, 1098, 1106, 1272, 1313, 1388, 1405, 1412, 1446, 1505, 
86	-	14, 137, 186, 334, 376, 425, 433, 591, 639, 759, 890, 896, 1026, 1043, 1047, 1148, 1230, 1441, 1453, 1507, 1521, 
87	-	64, 65, 150, 236, 284, 291, 416, 473, 702, 756, 758, 848, 1007, 1008, 1055, 1081, 1140, 1269, 1301, 1356, 1387, 1412, 1419, 1446, 1492, 1498, 
88	-	59, 257, 269, 430, 512, 531, 603, 610, 695, 707, 734, 767, 795, 841, 919, 1116, 1246, 1330, 1353, 1359, 1402, 1439, 1471, 1473, 1500, 1512, 
89	-	60, 66, 71, 158, 196, 231, 303, 359, 438, 516, 554, 631, 676, 699, 736, 807, 882, 968, 1017, 1187, 1188, 1458, 
90	-	13, 238, 245, 328, 604, 722, 733, 887, 911, 1060, 1201, 1203, 1282, 1311, 1321, 1531, 
91	-	60, 71, 119, 190, 294, 343, 349, 362, 378, 389, 403, 538, 543, 547, 569, 645, 661, 724, 743, 768, 827, 882, 886, 903, 978, 984, 1017, 1088, 1118, 1125, 1252, 1400, 1404, 1420, 
92	-	35, 109, 129, 149, 153, 202, 367, 459, 552, 563, 644, 653, 656, 832, 866, 977, 1057, 1064, 1086, 1105, 1210, 1296, 1302, 1305, 1336, 1345, 1366, 1475, 1522, 
93	-	6, 11, 26, 99, 210, 219, 221, 338, 357, 409, 482, 488, 529, 539, 567, 765, 872, 884, 889, 1108, 1162, 1189, 1240, 1361, 1363, 1373, 1433, 1434, 
94	-	50, 98, 146, 177, 355, 435, 441, 446, 458, 518, 599, 602, 622, 735, 820, 829, 835, 838, 850, 939, 1204, 1205, 1257, 1418, 1456, 1476, 1485, 
95	-	11, 122, 186, 219, 256, 308, 357, 408, 433, 448, 529, 539, 553, 749, 765, 775, 925, 960, 1108, 1148, 1162, 1189, 1230, 1242, 1251, 1361, 1373, 1434, 1441, 1453, 
96	-	45, 166, 223, 267, 371, 431, 500, 504, 958, 991, 1021, 1030, 1056, 1100, 1110, 1137, 1180, 1235, 1277, 1349, 1350, 1367, 
97	-	48, 55, 56, 100, 156, 216, 243, 270, 377, 396, 417, 612, 678, 761, 772, 839, 908, 957, 1040, 1068, 1082, 1124, 1155, 1294, 1299, 1355, 1457, 1478, 
98	-	30, 94, 177, 355, 435, 446, 454, 458, 518, 622, 735, 820, 829, 831, 835, 838, 847, 850, 939, 1000, 1204, 1205, 1418, 1456, 1476, 1485, 
99	-	26, 51, 93, 221, 276, 338, 409, 482, 849, 872, 889, 942, 1233, 1240, 1340, 1433, 
100	-	9, 55, 97, 156, 164, 213, 215, 216, 229, 243, 247, 285, 292, 298, 345, 377, 396, 424, 651, 678, 693, 844, 947, 1058, 1068, 1072, 1124, 1141, 1155, 1156, 1175, 1229, 1294, 1299, 1355, 1421, 1478, 
101	-	4, 165, 192, 228, 253, 263, 288, 315, 386, 509, 545, 558, 598, 668, 674, 779, 856, 921, 1051, 1079, 1104, 1166, 1198, 1231, 1239, 1256, 1259, 1273, 1295, 1392, 1416, 1450, 
102	-	214, 227, 299, 307, 327, 450, 470, 487, 497, 549, 562, 633, 782, 868, 898, 981, 1066, 1128, 1131, 1202, 1315, 1328, 1377, 1398, 1425, 1428, 1495, 1508, 
103	-	46, 113, 114, 174, 242, 286, 296, 316, 369, 422, 426, 513, 649, 746, 789, 811, 819, 956, 995, 1012, 1061, 1121, 1304, 1331, 1339, 1344, 1346, 1358, 1365, 1370, 1386, 
104	-	132, 143, 262, 322, 360, 387, 494, 495, 521, 671, 902, 1013, 1046, 1091, 1271, 1491, 1511, 
105	-	7, 16, 78, 124, 132, 143, 222, 273, 322, 360, 445, 480, 494, 495, 530, 628, 671, 741, 769, 813, 869, 881, 999, 1091, 1145, 1179, 1222, 1324, 1334, 1368, 1440, 1491, 1513, 1525, 
106	-	62, 63, 141, 144, 282, 333, 442, 455, 655, 710, 716, 738, 803, 870, 929, 1226, 1244, 1245, 1286, 1303, 1307, 1515, 1517, 
107	-	64, 137, 162, 291, 593, 601, 709, 758, 1007, 1008, 1053, 1067, 1140, 1159, 1170, 1301, 1329, 1341, 1356, 
